id,category,question,expected_tool,ground_truth,answer,actual_tool,routing_correct,latency,total_iterations,context_recall,faithfulness,answer_correctness,failure_mode
S3,structural,In which stories do crimes of type murder appear?,text2cypher,A Scandal In Bohemia contains murder crimes; Silver Blaze contains murder crimes; The Adventure Of The Dancing Men contains murder crimes; The Adventure Of The Speckled Band contains murder crimes,"A Scandal In Bohemia [1], Silver Blaze [2], The Adventure Of The Dancing Men [3], and The Adventure Of The Speckled Band [4].",text2cypher,True,36.095805168151855,2,1.0,1.0,1.0,Excelente
A1,adversarial,What happens in The Adventure of the Blue Carbuncle?,vector_search,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,vector_search,True,22.527291297912598,1,1.0,1.0,1.0,Excelente
A2,factual,How old is Irene Adler?,text2cypher,Irene Adler was born in 1858.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,14.943237781524658,1,0.0,1.0,0.0,Contexto insuficiente
A3,adversarial,What is the name of Sherlock Holmes' brother who appears in Silver Blaze?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,27.116784811019897,1,1.0,1.0,1.0,Excelente
A4,adversarial,What year was A Scandal in Bohemia first published?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,18.841198444366455,1,1.0,1.0,1.0,Excelente
R1,robustness,Tell me about the violin-playing detective,vector_search,Sherlock Holmes is an accomplished violinist who plays the instrument to aid his thinking and emotional release.,"Holmes is an enthusiastic musician, a very capable performer, and a composer of no ordinary merit, who enjoys going to ""violin-land"" [1]. He also attends concerts, such as Sarasate playing at the St. James's Hall [2].",vector_search,True,26.588902950286865,1,1.0,1.0,0.6666666666666666,Contexto insuficiente
R2,robustness,En qué relatos sale el Doctor?,text2cypher,A Scandal In Bohemia; Silver Blaze; The Adventure Of The Dancing Men; The Adventure Of The Speckled Band; The Final Problem; The Red-Headed League,"A Scandal In Bohemia [1], Silver Blaze [2], The Adventure Of The Dancing Men [3], The Adventure Of The Speckled Band [4], The Final Problem [5], y The Red-Headed League [6].",text2cypher,True,17.792834043502808,1,1.0,1.0,1.0,Excelente
R3,robustness,¿Quién es la mujer que superó a Sherlock Holmes?,text2cypher,Irene Adler outwitted Sherlock Holmes in A Scandal in Bohemia by anticipating his plan and fleeing England with the photograph.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,17.45138144493103,1,0.0,1.0,0.0,Contexto insuficiente
S4,structural,What deduction chain does Holmes build in The Red-Headed League?,text2cypher,"Holmes's excitement and statement 'I thought as much' indicate a significant confirmation of his suspicions. -> Holmes sinks into deep thought, indicating he is processing this new information and connecting it to his ongoing investigation.;  -> ; we cannot risk the presence of a light. -> they may do us some harm unless we are careful.; was a lure which must draw him -> what was it to them, who were playing for thousands?;  -> ;  -> That, however, was out of the question.;  -> The cellar is the key location for the mysterious activity.; The cellar is the key location for the mysterious activity. -> The assistant is one of the coolest and most daring criminals in London.; The assistant is one of the coolest and most daring criminals in London. -> He was running a tunnel to some other building.; The tunnel was completed. -> They would make their attempt to-night.; The tunnel was completed. -> ; They would make their attempt to-night. -> I expected them to come to-night.;  -> They would make their attempt to-night.;  -> ;  -> I expected them to come to-night.;  -> I expected them to come to-night.","La cadena de deducciones de Holmes incluye que la bodega es la ubicación clave para la actividad misteriosa [7], lo que lleva a que el asistente es uno de los criminales más geniales y audaces de Londres [8]. Esto, a su vez, lleva a que estaba cavando un túnel hacia otro edificio [9].

De la deducción ""The tunnel was completed"", se deduce que ""They would make their attempt to-night"" [10].

De la deducción ""They would make their attempt to-night"", se deduce que ""I expected them to come to-night"" [12].",text2cypher,True,87.41933703422546,2,1.0,1.0,0.7499999999999999,Excelente
S5,structural,Which characters investigate crimes AND appear in more than one story?,text2cypher,Sherlock Holmes investigates crimes and appears in 6 stories; Watson investigates crimes and appears in 6 stories,Sherlock Holmes [1] and Watson [2] investigate crimes and appear in more than one story.,text2cypher,True,20.95812463760376,1,1.0,1.0,0.8,Excelente
